Range,Drop,DropAfterzero,DropAVG,MILs
0.3333333333333333,-1.5000256232899214,-1.4871370598102653,-1.4935813415500934,0.0
50.333333333333336,-2.0844431497341755,-0.16795864652485237,-1.126200898129514,0.09269240978192736
100.33333333333333,-3.8229987891541417,-0.002722137393520427,-1.912860463273831,0.0007536371521374383
150.33333333333334,-6.716710613550833,-0.9926403120001169,-3.854675462775475,0.18341469179603048
200.33333333333334,-10.76659819255674,-3.1387318882114927,-6.952665040384117,0.435209635082015
250.33333333333334,-15.973682596509304,-6.442016821398956,-11.20784970895413,0.7148265447624229
300.3333333333333,-22.338986399564927,-10.90351652432865,-16.621251461946787,1.0084643474221837
350.3333333333333,-29.863533682773344,-16.524253901374653,-23.193893792074,1.310200911938999
400.3333333333333,-38.54835003721535,-23.305253359455463,-30.926801698335407,1.6170728115081503
450.3333333333333,-48.39446256710896,-31.247540813738787,-39.82100169042387,1.927432816046064
500.3333333333333,-59.402899892936674,-40.35214369180491,-49.87752179237079,2.2402922325008277
550.3333333333334,-71.57469215458231,-50.62009093725099,-61.09739154591665,2.5550217513250044
600.3333333333334,-84.91087101447742,-62.05241301306748,-73.48164201377244,2.87120178664943
650.3333333333334,-99.41246966074276,-74.65014190490032,-87.03130578282153,3.1885418548137845
700.3333333333334,-115.08052281038016,-88.41431112430865,-101.7474169673444,3.506834488509783
750.3333333333334,-131.91606671239373,-103.34595571192241,-117.63101121215807,3.825927577073982
800.3333333333334,-149.92013915100657,-119.44611224067928,-134.68312569584293,4.145707074853508
850.3333333333334,-169.0937794488263,-136.71581881900045,-152.90479913391337,4.466085810107161
900.3333333333334,-189.43802847006162,-155.1561150940118,-172.2970717820367,4.786996022893119
950.3333333333334,-210.95392862369027,-174.76804225471227,-192.86098543920127,5.108384258585065
1000.3333333333334,-233.6425238667143,-195.55264303522753,-214.59758345097092,5.430207792825379
1050.3333333333333,-257.504859707331,-217.5109617179776,-237.50791071265428,5.752432077593823
1100.3333333333333,-282.5419832081968,-240.64404413693597,-261.59301367256637,6.075028883594264
1150.3333333333333,-308.754942989672,-264.9529376808689,-286.8539403352704,6.397974927095261
1200.3333333333333,-336.14478923301976,-290.4386912965291,-313.29174026477443,6.721250839964109
1250.3333333333333,-364.7125736837309,-317.1023554919734,-340.90746458785213,7.044840386829588
